# stackVersion=0.0.0-local kind=biome-grid generatedAt=2026-08-05T03:24:01.097090590Z
# tbInjected=false
-768,-768,minecraft:nether_wastes
-768,-704,minecraft:nether_wastes
-768,-640,minecraft:nether_wastes
-768,-576,minecraft:nether_wastes
-768,-512,minecraft:nether_wastes
-768,-448,minecraft:nether_wastes
-768,-384,minecraft:nether_wastes
-768,-320,minecraft:nether_wastes
-768,-256,minecraft:nether_wastes
-768,-192,minecraft:nether_wastes
-768,-128,incendium:ash_barrens
-768,-64,incendium:ash_barrens
-768,0,incendium:ash_barrens
-768,64,incendium:ash_barrens
-768,128,minecraft:nether_wastes
-768,192,minecraft:nether_wastes
-768,256,minecraft:nether_wastes
-768,320,minecraft:nether_wastes
-768,384,minecraft:nether_wastes
-768,448,minecraft:nether_wastes
-768,512,minecraft:nether_wastes
-768,576,minecraft:basalt_deltas
-768,640,minecraft:basalt_deltas
-768,704,minecraft:nether_wastes
-768,768,minecraft:nether_wastes
-704,-768,minecraft:nether_wastes
-704,-704,minecraft:nether_wastes
-704,-640,minecraft:nether_wastes
-704,-576,minecraft:nether_wastes
-704,-512,minecraft:nether_wastes
-704,-448,minecraft:nether_wastes
-704,-384,minecraft:nether_wastes
-704,-320,minecraft:nether_wastes
-704,-256,minecraft:nether_wastes
-704,-192,minecraft:nether_wastes
-704,-128,incendium:ash_barrens
-704,-64,incendium:ash_barrens
-704,0,incendium:ash_barrens
-704,64,incendium:ash_barrens
-704,128,minecraft:nether_wastes
-704,192,minecraft:nether_wastes
-704,256,minecraft:nether_wastes
-704,320,minecraft:nether_wastes
-704,384,minecraft:nether_wastes
-704,448,minecraft:nether_wastes
-704,512,minecraft:basalt_deltas
-704,576,minecraft:basalt_deltas
-704,640,minecraft:basalt_deltas
-704,704,minecraft:basalt_deltas
-704,768,minecraft:nether_wastes
-640,-768,minecraft:nether_wastes
-640,-704,minecraft:nether_wastes
-640,-640,minecraft:nether_wastes
-640,-576,minecraft:nether_wastes
-640,-512,minecraft:nether_wastes
-640,-448,minecraft:nether_wastes
-640,-384,minecraft:nether_wastes
-640,-320,minecraft:nether_wastes
-640,-256,minecraft:nether_wastes
-640,-192,minecraft:nether_wastes
-640,-128,minecraft:nether_wastes
-640,-64,minecraft:nether_wastes
-640,0,incendium:ash_barrens
-640,64,incendium:ash_barrens
-640,128,minecraft:nether_wastes
-640,192,minecraft:nether_wastes
